,GSM4171496,GSM4171497,GSM4171499,GSM4171514,GSM4171517,GSM4171521,GSM4171522,GSM4171524,GSM4171527,GSM4171530,GSM4171531,GSM4171535,GSM4171536,GSM4171541,GSM4171543,GSM4171546,GSM4171560,GSM4171564,GSM4171572,GSM4171574,GSM4171578,GSM4171584
KIAA2012,2.82932519474173,2.68388073692614,2.69691967302784,2.84727605422088,2.56327972534646,3.15836441968255,2.8535158069626,2.45624395860567,2.65784248353674,2.86516336710494,2.83301015491468,2.57777110371556,2.88611343228457,2.84994252561222,2.75852790876586,3.0340877490309,2.70080580072129,2.7427902852306,2.60785197447693,2.83096219965188,3.14500593866671,2.66639216677384
KIAA2012-AS1,3.77248331351653,3.81351149657455,3.81351149657455,4.13463619836735,3.80783713601681,3.75959599615862,4.12724265874828,3.93477735378195,3.79413193343257,3.62621491060681,3.81708093423442,3.58722391127847,4.01001473231167,3.98087416176975,3.84773054387871,3.62057156547892,3.80487594785071,3.8694564364826,4.08622919913177,3.77386920952082,3.8506923346651,3.89880121957798
KIAA2013,8.33684623322169,8.56105599415635,8.77812031364605,8.25691546736597,8.47950109720167,8.26619187183942,8.4560283114694,8.33978502978327,7.97107194291054,8.58975276173837,8.7327515332567,8.44737437998487,8.58351739262323,8.94319408615508,8.49157115494384,8.50007372476672,8.83545643091423,8.47819697848782,8.89799892617529,8.739892737362,8.25176928285202,8.43911396378115
KICS2,4.93802691298304,5.35633056319754,5.87123100654258,6.08628814034765,5.77277233505632,4.55670454717019,5.45747413268573,6.38639671833442,5.62292925998578,5.11567077213849,5.72836465978827,5.58972502821537,5.333138952745,4.95456026070615,5.27703392258292,5.96262834974145,6.35033434389784,5.90431411921347,4.73720654789261,4.80659301654086,6.30085776847204,6.39334555865756
KIDINS220,8.32633618903175,9.52245698240273,8.58197879843249,8.83315577770347,8.79877780628571,8.90452543342941,8.37008615145663,8.84835072871213,8.26474040720721,8.63843390229427,8.57677199330667,8.10135231547833,8.80996061551204,8.99771414824264,8.52198903214468,8.85210554187691,8.6419898410396,8.57787183646026,7.39476413807853,8.64138064448996,8.77154762529209,8.96744799583045
KIF11,8.77496292120062,7.95286228848978,6.63804987072117,7.63108995587731,6.63971957045191,8.18517257076526,7.57196922639836,5.94782771562628,4.42825380347842,7.2738546024629,6.24516865692502,7.68516133575273,7.66729171093163,7.43794726242966,4.73096338093181,4.86507627785659,5.86414336597728,3.70768285646584,7.50032693770599,7.54241141971558,5.60331006079096,5.33193619111785
KIF12,4.93601791504008,5.14220552857086,5.1525023292047,4.95506074962252,4.76806130594332,5.23628038087843,5.06816429503343,4.95337529717754,5.45690318113754,4.94783213136702,5.0993116519301,5.10883184131841,4.90526510194253,5.08746749599857,5.22482325674848,5.1691170367745,5.60180924547345,6.19728679141635,5.34354671510765,5.19083407800123,5.34771294429295,6.28637879941691
KIF13A,8.93739800579469,8.52624746091681,7.91868226217401,8.8208960431772,9.17974737370082,7.65790276215069,8.4610273492878,8.81027931788141,8.85958162346002,8.82923317569292,7.9649207694645,8.70718337652319,8.04071320694537,8.22408959077893,7.75852622104331,8.91500763075155,8.02797761226647,8.91440921498923,7.63331031547391,9.30642353712482,8.66484021092405,9.26213227001035
KIF13B,5.56693703032858,5.50431669430757,5.12209587254042,5.68039315979207,5.52612706311207,5.38552291835661,6.23862369980443,6.59818741418681,7.86852385893831,6.04788781123872,6.1317521869367,5.83774737275935,5.62624801894164,6.34193020062144,6.95110261742772,6.772848768091,6.92075520540207,7.65986976849372,5.81454282970401,5.77665989027211,6.64719378864994,7.01875954674112
KIF14,8.40249437275991,8.08321326128264,6.54980630209055,7.20282858154281,6.45838639793767,8.19221964265709,7.73114052712557,5.35740706874505,4.55035268523779,7.01210370592535,6.79159867436834,7.49086113497226,7.15811159200487,7.21440126175289,5.92031117646144,4.5680272234687,5.66016431293246,3.90664914451523,7.20156784406306,7.67888187600248,4.90464361446006,4.45387693093976
KIF15,7.18343164484164,7.38783285479348,6.22130614623737,6.30623642879459,4.54070540744944,5.58530429909376,6.20799942771273,4.26027431060578,2.78994778885549,5.99996584000774,5.70044954765139,6.24910368607275,5.98885847776635,6.52940680849148,3.73056833353655,3.40607488026473,4.64296005732051,2.72959619875862,6.03927440344052,6.35528899406866,3.7771365522652,3.25528900012307
