,GSM713198,GSM713199,GSM713200,GSM713201,GSM713202,GSM713203,GSM713204,GSM713205,GSM713206,GSM713207,GSM713208,GSM713209,GSM713210,GSM713211,GSM713212,GSM713213,GSM713214,GSM713215,GSM713216,GSM713217,GSM713218,GSM713219,GSM713220,GSM713221
NDUFA1,10.2832341283109,10.4814731486088,10.7638810208331,10.6839155065447,10.3132326534891,10.4647928098946,10.5759478169374,10.939395969405,10.8273353427481,10.6626625398885,11.2123542713519,11.2761459818746,10.9609680404795,11.0191896800601,10.7581846956111,10.7717189860355,10.6842011642748,10.8056336842691,10.6636281534799,10.6458003660355,10.6728476833486,10.6267046529872,11.0214060013657,10.9464359407976
NDUFA10,7.95177400920343,8.18003274910592,9.05311882171929,9.18161897644434,9.07036369880532,9.12545349379912,8.38722772499777,9.10371292258912,8.08699649194751,7.69127538826257,9.01922413967677,9.01795869832844,8.62212579221643,8.53349993009764,7.88539309581866,8.15200047954838,8.8068156442806,8.92949146194036,9.02572068230353,8.89898272154832,8.03342092597132,7.8613713959784,7.77402833656362,8.11015317789772
NDUFA11,9.40983039513411,9.60943903785881,9.46111252448749,9.26799285783884,9.3340015095594,9.72123380643407,8.98778739812595,9.1882642594495,9.06237114312248,8.92406777214873,9.83637575381727,9.75388297020721,9.12596936515884,9.14043146322751,9.16896062456723,9.43791590247672,9.42190749902038,9.40881616912603,9.11920264317551,9.21351565297086,9.51450745803489,9.21328660103998,9.31673386775671,9.06222706315686
NDUFA12,10.75139648803,10.586426392814,10.6898699323103,10.7699373447547,11.4984773834057,11.5175987395175,11.1083463350594,11.0472951828563,10.766944740805,10.531299992261,11.1340781359215,11.2061435709416,11.5493074726718,11.4475109536037,9.91147314606315,10.0775567716543,10.714914647444,10.7023832468905,11.2727075823746,11.2528837304017,10.0319147560648,10.1860686702553,10.1875516008162,10.2127555923811
NDUFA13,10.5698412166965,10.6885868516611,9.87631806178837,10.1011530341527,9.95914431059527,10.0470099586772,9.51388363210603,10.3210857814268,10.073399568702,9.78961157759454,10.4623405628075,10.5915076554849,10.6708705109928,10.5274968988061,9.94609066801221,9.72865734986541,10.3737738035775,10.7076896063971,10.1588713383478,10.1135867173772,9.79356549655111,9.79132604329149,9.98406891602026,10.2491574211227
NDUFA2,9.39338778602234,9.53059288472562,8.77242353226286,8.92939749471965,8.54852161210392,8.65423416437507,9.68508238181244,9.98322398072629,9.82441708527701,9.52452771535352,9.39057159494671,9.32933223516996,10.02924246887,9.99809285102874,9.15727972526946,9.1176181945511,9.43393883205982,9.57374903696727,9.87208172750995,9.80869107993647,8.83655558487655,8.86728406554732,8.93146186675675,8.99350823630907
NDUFA3,7.32788375164461,7.9546666713073,7.40818183248454,7.16678658066487,7.65059274609645,8.0822093018184,6.73495120260754,7.12901434620508,8.35923829138764,8.13576129086311,8.12732593094453,7.99656467057808,8.44932067281413,8.62093529396014,7.04634698107246,7.53073706033629,8.21111550682851,8.16775790464534,7.50245403722635,7.75920385014569,8.61765733596531,8.07700146973178,8.40520303464286,8.30304553366905
NDUFA4,11.3305908901688,11.406374290621,11.325877597696,11.3620356265769,10.9173032234647,11.0017445077732,11.2321763611703,11.2520616102427,11.1749803622978,11.2165319351755,11.9622592213272,11.867968678213,11.6250027346053,11.716841488047,10.887362939207,11.0577517187943,11.2056377475011,11.2100252309544,11.3409411028068,11.3996649008201,11.1328873476014,10.9434630569642,11.6698057630771,11.4857117238761
NDUFA4L2,4.86825544369166,5.54248948060709,4.83131398628874,4.47039681421064,4.54985866511618,4.33151896740075,5.46276563807396,5.66261018004063,5.38530794053225,5.58843154997138,5.41241016577996,5.30491120605228,4.92939647041023,4.96140372193013,5.39976309467537,6.41566443767563,4.20819545636792,4.71787513823706,4.27137497135526,4.52917623749222,5.8185297790726,5.78464595051856,5.172150652145,5.29340236790384
NDUFA5,9.49801713054296,9.13183797887903,9.52973663775851,9.56429620713272,9.13855245634257,8.82265609136927,9.31613868270161,8.86877516687078,9.2648125151134,10.0671310779185,9.02513967388025,8.7814538991516,9.11062413316273,9.49291671796223,9.4830938372971,9.33613867680452,8.95736911297309,8.83450885135851,9.05635408815144,9.0436570378571,8.59963114028956,9.00526080917174,9.20586323474627,8.72554256524244
NDUFA6,9.59928281190917,9.74690371609175,9.97824937950095,9.95474021158524,9.59418792734831,9.81625921909492,9.40169172706948,9.92813197897915,9.16227489435934,9.15550140007683,9.8568909166202,9.7611870843882,9.83898093522283,9.81719530403811,9.1161858977162,9.38239197590988,10.2704694703108,10.2604162269067,10.4680611733043,10.5002341402119,9.65086250580132,9.70395915349958,9.76572028658386,9.63320423114293
NDUFA6-DT,3.11564770444135,3.60658036549138,3.60241605853126,3.12569612886603,3.02666803955058,3.13778869945445,3.06252457877416,3.1677205221404,3.78875143774694,3.41396329371607,2.99412337390735,3.06470293027188,4.35550742385845,4.83693189994963,3.56863069109157,3.63901555276651,2.8071936552551,3.36689911496117,5.10383363770419,4.66038593911633,3.47054198031156,3.58729010768962,3.38490830760451,3.22900346804555
NDUFA7,6.1727157990915,6.45534379217207,7.47603401970117,7.17270518329957,8.33068985976389,8.77388249273924,8.29152685686673,7.60947891267552,7.6194562798385,7.48821713159092,7.81149430298106,8.05651118843417,8.12258864143735,7.84172807808266,7.10049754548209,7.09402936336752,7.49678226838741,7.38385080595082,7.71249552489136,7.68149909647828,7.72363252087283,7.50204202149562,7.08418072961268,7.00950557329416
NDUFA8,9.08787165075568,9.27065246907913,8.4580861418383,8.47668568379605,8.15574156058398,8.28809910047466,9.69698360765482,9.79563768987103,8.83940923395069,8.57363624609799,8.66733768212794,8.80971124540622,8.79555528270261,8.47782547041249,7.81355477277249,7.79310688633587,8.75101404002121,8.75157155101443,9.0310557348634,8.98932196898235,9.02963618173696,8.91276329908609,8.30241762758908,8.52612780934728
NDUFA9,8.65068463499401,8.87448310664858,10.5041648753308,10.4479843141966,9.4680631267896,9.62146540549135,8.92393283634521,9.07526626142218,9.60728331545723,9.25322092397503,10.5956166690631,10.5782111054006,9.37919229675727,9.30023128364179,9.38729653580819,9.24202828378323,8.82139732670614,8.8204488643575,9.61568711057422,9.63910444457385,9.14613270145167,9.06461817633132,9.9534016745098,9.91144755309645
NDUFAB1,10.2772013181046,10.4098339685887,10.0721079063219,10.0115496131661,9.46067541802067,9.67453017560426,10.6271254712708,10.554924463982,9.63501926894745,9.50436532484263,10.3577621230969,10.330024726935,10.4712983505115,10.4558677334255,9.70119287712998,9.89164853935467,9.94153873105327,10.0572197076386,9.97510851286814,9.93793019390495,9.67118488732588,9.5739470615072,10.0853346387271,10.0525479441126
NDUFAF1,6.9063345366475,6.85284247285885,6.14554277893011,6.34529023183168,6.77654393227528,6.35664917277892,6.36033824854524,6.59051854583188,6.67180864776399,6.68477457223863,6.32702041334159,6.42425604672998,6.88171871910986,6.55704421399216,5.98983664474359,5.54932121037897,6.16385349382314,6.67626649964623,7.26742798183784,7.2585229186382,5.86014660843431,5.63062294661542,5.62657384744368,6.03606243668086
